shot,flat_top_start,flat_top_end
55675,0.1881,0.23860012
55676,0.368,0.932100117
55680,0.368,0.789400101
55684,0.368,0.805000126
55686,0.368,0.66170013
55689,0.3481,0.622400105
55690,0.3481,0.670300126
55694,0.3481,0.368
55696,0.1331,1.6
55698,0.1331,1.61800015
55700,0,0
55704,0.327,0.739500105
55706,0.327,0.562200129
55709,0.0871002674,0.5308
55710,0,0
55714,0.1881,1.468
55716,0.188000262,0.789199948
55718,0.133100271,1.4818
55720,0.133100271,1.8144
55722,0.133100271,1.70579994
55725,0.133100271,1.4149
55727,0.188000262,0.3523
55729,0.149100274,0.3182
55730,0.133100271,0.4227
55733,0.149100274,0.3178
55741,0,0
55742,0.133100271,1.37299991
55744,0.133100271,1.8152
55745,0.133100271,1.40379989
55746,0.3481,0.368
55747,0.1331,1.7
55748,0.1331,1.63739991
55749,0.1331,1.5917
55751,0.1331,1.56609988
55752,0.3481,0.368
55755,0.1881,0.392600119
55757,0.1881,1.77
55767,0.188100263,1.77000022
55775,0.188100263,0.3243
55777,0.22810027,0.3324
55779,0.188100263,0.3283
55781,0.188100263,0.3139
55783,0.188100263,0.3431
55785,0.188100263,0.300200015
55787,0.133100271,0.243500009
55789,0.188100263,0.7511
55791,0.22810027,0.6698
55793,0.133100271,1.5194999
55799,0.1881,1.468
55801,0.3481,0.368
55802,0.3481,0.368
55804,0.3481,0.676500142
55805,0.327,0.69810009
55806,0.3481,0.630300105
55807,0.3481,0.729700089
55813,0.3481,0.552200139
55816,0.3481,0.635700107
55818,0.133100271,0.5825
55819,0.3481,0.602200091
55821,0.1881,1.941
55824,0.0871002674,0.825899959
55827,0.133100271,0.6609
55829,0.133100271,0.844
55831,0.133100271,0.88229996
55835,0.3501,1.2137
55838,0.1881,1.468
55839,0.133100271,0.812899947
55842,0.3481,0.881400108
55844,0.4501,0.641000092
55846,0.133100271,1.34849989
55847,0.1321,1.61180007
55854,0.4001,1.65
55855,0.4501,0.46510011
55857,0.4501,0.506900132
55858,0.3481,0.618500113
55860,0.3481,1.22320008
55862,0,0
55863,0.3481,0.629400134
55864,0,0
55865,0.3481,0.703500092
55866,0.1881,1.47300017
55870,0.3481,0.890700102
55871,0.2801,1.27900016
55872,0.3481,0.908000112
55874,0.3481,0.681900144
55877,0.1881,1.941
55879,0.188100263,1.3726
55881,0.188100263,1.3879
55883,0.188100263,1.3894999
55888,0.133100271,2.07600021
55889,0.0871002674,0.879099965
55891,0.0871002674,0.513799965
55892,0.0871002674,0.515599966
55893,0.0871002674,0.5171
55894,0.0871002674,1.1559999
55897,0.133100271,1.4186
55898,0,0
55900,0.2801,1.23260009
55901,0.3481,0.781600118
55905,0.3481,0.526200116
55906,0.3481,0.695300102
55907,0.3481,0.7427001
55908,0.3481,0.907500088
55909,0.3481,0.839900136
55931,0.188100263,1.3201
55933,0.188100263,0.5482
55934,0.127100274,1.3664999
55942,0.188100263,1.77000022
55943,0.127100274,0.5261
55946,0.127100274,1.4489
55953,0.1881,0.754100144
55959,0.1881,1.64
55963,0.188100263,1.46800029
55966,0.6501,1.85830009
55968,0.5001,1.96880007
55971,0.4071,0.880100131
55972,0.0921,1.1759001
55973,0.4071,1.01920009
55974,0.0921,1.19230008
55975,0.6501,1.69160008
55978,0.0921,1.50390017
55980,0.0921,1.5269
55981,0.0921002701,1.09499991
55984,0.0921,1.6
55985,0.0921,1.02950013
55986,0.0921,0.904300094
55987,0.188100263,1.77000022
55988,0.0921,1.56110013
55989,0.188100263,1.77000022
55990,0.188100263,1.4235
55992,0.0921,1.6
55993,0.188100263,1.67000031
55997,0.1271,0.506400108
56001,0.188100263,0.5748
56006,0.1881,0.412400126
56007,0.188100263,1.77000022
56010,0.188100263,1.77000022
56017,0.1271,1.72
56019,0.300100267,1.77000022
56023,0.188000262,0.7021
56025,0.188000262,0.4707
56027,0.0871002674,2.42299986
56028,0.0871002674,2.4232
56030,0.0871002674,2.42349982
56033,0.0871002674,2.4008
56034,0.0871002674,2.4243
56036,0.0871002674,2.47700024
56051,0.1881,1.468
56054,0.1271,1.82
56057,0.1271,0.749500096
56058,0.1271,0.731200099
56063,0.2281,0.855000138
56064,0.2281,0.647900105
56065,0.2281,0.533000112
56066,0.2281,2.029
56067,0.1331,0.9492
56068,0.1331,0.924599946
56069,0.1331,1.5481
56070,0.1331,0.897799969
56071,0.1331,1.5754
56072,0.1331,1.617
56073,0.1331,0.9127
56074,0.1331,0.89989996
56080,0.188100263,1.46800029
56081,0.1881,1.67
56102,0.188100263,1.77000022
56106,0.188100263,1.64099991
56108,0.188100263,1.6716
56110,0.188100263,1.5301
56112,0.188100263,1.6256
56119,0.1881,1.468
56126,0.0871002674,2.47700024
56127,0.0871,1.18170011
56129,0.0871,1.27180016
56130,0.0871,1.939
56132,0.1321,0.149800122
56133,0.25,0.263200104
56140,0.0871,1.939
56145,0.1881,1.468
56153,0.188100263,1.77000022
56155,0.3481,0.625700116
56156,0.3481,0.622600138
56161,0.3481,0.53730011
56163,0.3481,0.524100125
56164,0.3481,0.542500138
56165,0.3481,0.767100096
56166,0.368,0.648200095
56173,0.0871,2.477
56180,0.1881,1.468
56181,0.1881,0.397000104
56182,0.0871,0.884700119
56183,0.0871,0.867800117
56184,0.2281,0.419300109
56185,0.0871,1.29230011
56186,0.1881,0.641200125
56187,0.0871,1.80900013
56188,0.1881,1.1148001
56189,0.0871,1.88040006
56190,0.1881,0.62800014
56191,0.0871,1.83
56192,0.1881,0.763600111
56194,0.1881,1.59670007
56196,0.1881,1.35040009
56198,0.1881,1.34780014
56200,0.1881,0.728400111
56202,0.1881,1.52710009
56204,0.1881,0.463700116
56205,0.188100263,1.77000022
56206,0.1881,0.876300097
56207,0.1881,0.882000089
56211,0.1881,1.18
56212,0.1881,0.933100104
56213,0.188100263,1.37749994
56216,0.1881,0.969300091
56217,0,0
56219,0,0
56220,0.1881,0.654200137
56221,0.1881,0.817300141
56222,0.1881,1.20860016
56223,0,0
56226,0.1881,1.468
56229,0.368,0.545200109
56231,0.368,0.5200001
56232,0.0951,2.2681
56233,0.368,0.517100096
56234,0.0951,2.27190018
56235,0,0
56236,0.188100263,1.77000022
56237,0.3481,0.531500101
56239,0.3481,0.726900101
56241,0.0871,1.0966
56242,0.3481,0.646600127
56244,0.1331,1.6013999
56245,0.1331,1.5611999
56247,0.1331,1.55049992
